index, memory location, data type, hex value, dec, voltage
[0], 0x001C00, int, 1464, 100, 0.029150390625
[1], 0x001C02, int, 1344, 68, 0.019775390625
[2], 0x001C04, int, 1163, 99, 0.028857421875
[3], 0x001C06, int, 810, 0, -0.000146484375
[4], 0x001C08, int, 585, 5, 0.001318359375
[5], 0x001C0A, int, 0x0137, 311, 0.09096679687499999
[6], 0x001C0C, int, 200, 0, -0.000146484375
[7], 0x001C0E, int, 156, 6, 0.001611328125
[8], 0x001C10, int, 273, 3, 0.0007324218749999999
[9], 0x001C12, int, 0x0196, 406, 0.11879882812499999
[10], 0x001C14, int, 0x0268, 616, 0.18032226562499998
[11], 0x001C16, int, 0x035F, 863, 0.252685546875
[12], 0x001C18, int, 0x0443, 1091, 0.31948242187500003
[13], 0x001C1A, int, 0x0503, 1283, 0.375732421875
[14], 0x001C1C, int, 0x05CA, 1482, 0.434033203125
[15], 0x001C1E, int, 0x0667, 1639, 0.480029296875
[16], 0x001C20, int, 0x05DE, 1502, 0.439892578125
[17], 0x001C22, int, 0x050D, 1293, 0.378662109375
[18], 0x001C24, int, 0x0454, 1108, 0.324462890625
[19], 0x001C26, int, 0x037C, 892, 0.261181640625
[20], 0x001C28, int, 0x0236, 566, 0.16567382812499998
[21], 0x001C2A, int, 0x0154, 340, 0.099462890625
[22], 0x001C2C, int, 0x00BC, 188, 0.054931640625
[23], 0x001C2E, int, 0x00B4, 180, 0.052587890625
[24], 0x001C30, int, 0x010B, 267, 0.07807617187499999
[25], 0x001C32, int, 0x01B1, 433, 0.126708984375
[26], 0x001C34, int, 0x0283, 643, 0.188232421875
[27], 0x001C36, int, 0x0364, 868, 0.254150390625
[28], 0x001C38, int, 0x04C9, 1225, 0.358740234375
[29], 0x001C3A, int, 0x0544, 1348, 0.394775390625
[30], 0x001C3C, int, 0x05D3, 1491, 0.43666992187500003
[31], 0x001C3E, int, 0x0628, 1576, 0.461572265625
[32], 0x001C40, int, 0x05A4, 1444, 0.422900390625
[33], 0x001C42, int, 0x04C4, 1220, 0.357275390625
[34], 0x001C44, int, 0x03E9, 1001, 0.29311523437500003
[35], 0x001C46, int, 0x0292, 658, 0.192626953125
[36], 0x001C48, int, 0x0186, 390, 0.114111328125
[37], 0x001C4A, int, 0x00FA, 250, 0.073095703125
[38], 0x001C4C, int, 0x00B5, 181, 0.052880859375
[39], 0x001C4E, int, 0x00C8, 200, 0.058447265625
[40], 0x001C50, int, 0x013C, 316, 0.09243164062499999
[41], 0x001C52, int, 0x022E, 558, 0.163330078125
[42], 0x001C54, int, 0x02FD, 765, 0.223974609375
[43], 0x001C56, int, 0x0447, 1095, 0.320654296875
[44], 0x001C58, int, 0x0516, 1302, 0.381298828125
[45], 0x001C5A, int, 0x05D9, 1497, 0.438427734375
[46], 0x001C5C, int, 0x0606, 1542, 0.451611328125
