index, memory location, data type, hex value, dec, voltage
[0], 0x001C00, int, 2143, 2143, 1.72613525390625
[1], 0x001C02, int, 2146, 2146, 1.72855224609375
[2], 0x001C04, int, 2144, 2144, 1.72694091796875
[3], 0x001C06, int, 2128, 2128, 1.71405029296875
[4], 0x001C08, int, 2055, 2055, 1.65523681640625
[5], 0x001C0A, int, 0x07CB, 1995, 1.60689697265625
[6], 0x001C0C, int, 1937, 1937, 1.56016845703125
[7], 0x001C0E, int, 1927, 1927, 1.55211181640625
[8], 0x001C10, int, 1914, 1914, 1.54163818359375
[9], 0x001C12, int, 0x076C, 1900, 1.53035888671875
[10], 0x001C14, int, 0x0793, 1939, 1.56177978515625
[11], 0x001C16, int, 0x07A7, 1959, 1.57789306640625
[12], 0x001C18, int, 0x080E, 2062, 1.66087646484375
[13], 0x001C1A, int, 0x0834, 2100, 1.69149169921875
[14], 0x001C1C, int, 0x0867, 2151, 1.73258056640625
[15], 0x001C1E, int, 0x086F, 2159, 1.73902587890625
[16], 0x001C20, int, 0x088E, 2190, 1.76400146484375
[17], 0x001C22, int, 0x087C, 2172, 1.74949951171875
[18], 0x001C24, int, 0x0853, 2131, 1.71646728515625
[19], 0x001C26, int, 0x0813, 2067, 1.66490478515625
[20], 0x001C28, int, 0x07D7, 2007, 1.61656494140625
[21], 0x001C2A, int, 0x07A2, 1954, 1.57386474609375
[22], 0x001C2C, int, 0x0777, 1911, 1.53922119140625
[23], 0x001C2E, int, 0x074B, 1867, 1.50377197265625
[24], 0x001C30, int, 0x0768, 1896, 1.52713623046875
[25], 0x001C32, int, 0x0779, 1913, 1.54083251953125
[26], 0x001C34, int, 0x07B7, 1975, 1.59078369140625
[27], 0x001C36, int, 0x07D7, 2007, 1.61656494140625
[28], 0x001C38, int, 0x0824, 2084, 1.67860107421875
[29], 0x001C3A, int, 0x0841, 2113, 1.70196533203125
[30], 0x001C3C, int, 0x086F, 2159, 1.73902587890625
[31], 0x001C3E, int, 0x085F, 2143, 1.72613525390625
[32], 0x001C40, int, 0x0858, 2136, 1.72049560546875
[33], 0x001C42, int, 0x083C, 2108, 1.69793701171875
[34], 0x001C44, int, 0x07F7, 2039, 1.64234619140625
[35], 0x001C46, int, 0x07AF, 1967, 1.58433837890625
[36], 0x001C48, int, 0x0788, 1928, 1.55291748046875
[37], 0x001C4A, int, 0x0773, 1907, 1.53599853515625
[38], 0x001C4C, int, 0x075F, 1887, 1.51988525390625
[39], 0x001C4E, int, 0x075E, 1886, 1.51907958984375
[40], 0x001C50, int, 0x079C, 1948, 1.56903076171875
[41], 0x001C52, int, 0x07C0, 1984, 1.59803466796875
[42], 0x001C54, int, 0x0807, 2055, 1.65523681640625
[43], 0x001C56, int, 0x082A, 2090, 1.68343505859375
[44], 0x001C58, int, 0x0863, 2147, 1.72935791015625
[45], 0x001C5A, int, 0x0867, 2151, 1.73258056640625
[46], 0x001C5C, int, 0x086F, 2159, 1.73902587890625
[47], 0x001C5E, int, 0x084B, 2123, 1.71002197265625
[48], 0x001C60, int, 0x0821, 2081, 1.67618408203125
[49], 0x001C62, int, 0x07D3, 2003, 1.61334228515625
[50], 0x001C64, int, 0x079D, 1949, 1.56983642578125
[51], 0x001C66, int, 0x079C, 1948, 1.56903076171875
[52], 0x001C68, int, 0x0768, 1896, 1.52713623046875
[53], 0x001C6A, int, 0x075F, 1887, 1.51988525390625
[54], 0x001C6C, int, 0x0787, 1927, 1.55211181640625
[55], 0x001C6E, int, 0x079C, 1948, 1.56903076171875
[56], 0x001C70, int, 0x07EF, 2031, 1.63590087890625
[57], 0x001C72, int, 0x0803, 2051, 1.65201416015625
[58], 0x001C74, int, 0x084C, 2124, 1.71082763671875
[59], 0x001C76, int, 0x0870, 2160, 1.73983154296875
[60], 0x001C78, int, 0x087F, 2175, 1.75191650390625
[61], 0x001C7A, int, 0x0875, 2165, 1.74385986328125
[62], 0x001C7C, int, 0x085A, 2138, 1.72210693359375
[63], 0x001C7E, int, 0x0828, 2088, 1.68182373046875
[64], 0x001C80, int, 0x07F5, 2037, 1.64073486328125
[65], 0x001C82, int, 0x07AF, 1967, 1.58433837890625
[66], 0x001C84, int, 0x0784, 1924, 1.54969482421875
[67], 0x001C86, int, 0x0778, 1912, 1.54002685546875
[68], 0x001C88, int, 0x0793, 1939, 1.56177978515625
[69], 0x001C8A, int, 0x0767, 1895, 1.52633056640625
[70], 0x001C8C, int, 0x07A8, 1960, 1.57869873046875
[71], 0x001C8E, int, 0x07D7, 2007, 1.61656494140625
[72], 0x001C90, int, 0x081F, 2079, 1.67457275390625
[73], 0x001C92, int, 0x0843, 2115, 1.70357666015625
[74], 0x001C94, int, 0x087C, 2172, 1.74949951171875
[75], 0x001C96, int, 0x0890, 2192, 1.76561279296875
[76], 0x001C98, int, 0x087F, 2175, 1.75191650390625
[77], 0x001C9A, int, 0x084F, 2127, 1.71324462890625
[78], 0x001C9C, int, 0x082B, 2091, 1.68424072265625
