Log_ID,Vehicle_ID,Record_Type,Mileage,Log_Date,Provider,Cost,Is_Fill_Up
1,34,5,0.00,2020-01-01,Service Center,$0.00,FALSE
2,35,5,0.00,2020-01-02,Service Center,$0.00,FALSE
3,34,1,245.00,2020-01-15,Shell #2847,$28.50,TRUE
4,35,1,198.00,2020-01-18,Chevron #5621,$25.40,TRUE
5,34,1,498.00,2020-01-28,BP #1345,$31.20,TRUE
6,34,1,734.00,2020-02-10,Chevron #5621,$18.40,FALSE
7,35,1,412.00,2020-02-12,Shell #2847,$29.10,TRUE
8,34,1,989.00,2020-02-24,Shell #2847,$29.80,TRUE
9,35,1,658.00,2020-02-26,Exxon #9203,$27.80,TRUE
10,34,1,"1,215.00",2020-03-09,BP #1345,$27.50,TRUE
11,35,1,891.00,2020-03-11,BP #1345,$26.90,TRUE
12,34,1,"1,468.00",2020-03-22,Exxon #9203,$30.90,TRUE
13,35,1,"1,134.00",2020-03-25,Chevron #5621,$30.20,TRUE
14,34,1,"1,701.00",2020-04-06,Shell #2847,$24.20,TRUE
15,35,1,"1,367.00",2020-04-08,Shell #2847,$23.80,TRUE
16,34,1,"1,924.00",2020-04-18,Chevron #5621,$26.80,TRUE
17,35,1,"1,589.00",2020-04-21,Exxon #9203,$28.30,TRUE
18,34,1,"2,186.00",2020-05-03,BP #1345,$32.40,TRUE
19,35,1,"1,823.00",2020-05-06,BP #1345,$31.70,TRUE
20,34,1,"2,421.00",2020-05-16,Shell #2847,$14.70,FALSE
21,35,1,"2,056.00",2020-05-19,Chevron #5621,$16.20,FALSE
22,34,1,"2,673.00",2020-05-31,Exxon #9203,$29.60,TRUE
23,35,1,"2,298.00",2020-06-03,Shell #2847,$28.90,TRUE
24,34,1,"2,898.00",2020-06-13,Chevron #5621,$27.90,TRUE
25,35,1,"2,531.00",2020-06-16,Exxon #9203,$29.40,TRUE
26,34,1,"3,154.00",2020-06-28,Shell #2847,$31.80,TRUE
27,35,1,"2,774.00",2020-07-01,BP #1345,$30.60,TRUE
28,34,1,"3,381.00",2020-07-11,BP #1345,$28.30,TRUE
29,35,1,"3,007.00",2020-07-14,Chevron #5621,$27.20,TRUE
30,34,1,"3,639.00",2020-07-26,Exxon #9203,$32.60,TRUE
31,35,1,"3,249.00",2020-07-29,Shell #2847,$31.80,TRUE
32,34,1,"3,862.00",2020-08-07,Chevron #5621,$10.50,FALSE
33,35,1,"3,482.00",2020-08-10,Exxon #9203,$11.90,FALSE
34,34,1,"4,124.00",2020-08-22,Shell #2847,$30.40,TRUE
35,35,1,"3,723.00",2020-08-25,BP #1345,$29.70,TRUE
36,34,1,"4,347.00",2020-09-05,BP #1345,$27.80,TRUE
37,35,1,"3,956.00",2020-09-08,Chevron #5621,$28.50,TRUE
38,34,1,"4,603.00",2020-09-19,Exxon #9203,$31.90,TRUE
39,35,1,"4,198.00",2020-09-22,Shell #2847,$30.90,TRUE
40,34,1,"4,826.00",2020-10-02,Chevron #5621,$26.40,TRUE
41,35,1,"4,431.00",2020-10-05,Exxon #9203,$27.10,TRUE
42,34,1,"5,089.00",2020-10-17,Shell #2847,$33.70,TRUE
43,35,1,"4,673.00",2020-10-20,BP #1345,$32.80,TRUE
44,34,1,"5,314.00",2020-10-30,BP #1345,$25.90,FALSE
45,35,1,"4,906.00",2020-11-02,Chevron #5621,$24.60,FALSE
46,34,1,"5,577.00",2020-11-15,Exxon #9203,$29.80,TRUE
47,35,1,"5,148.00",2020-11-18,Shell #2847,$30.50,TRUE
48,34,1,"5,799.00",2020-11-27,Shell #2847,$13.20,FALSE
49,35,1,"5,381.00",2020-11-30,Exxon #9203,$12.80,FALSE
50,34,1,"6,061.00",2020-12-12,Chevron #5621,$30.70,TRUE
51,35,1,"5,623.00",2020-12-15,BP #1345,$29.90,TRUE
52,34,1,"6,284.00",2020-12-26,BP #1345,$28.50,TRUE
53,35,1,"5,856.00",2020-12-29,Chevron #5621,$27.80,TRUE
54,34,1,"6,539.00",2021-01-09,Shell #2847,$31.40,TRUE
55,35,1,"6,098.00",2021-01-12,Shell #2847,$30.60,TRUE
56,34,1,"6,764.00",2021-01-23,Exxon #9203,$27.90,TRUE
57,35,1,"6,331.00",2021-01-26,Exxon #9203,$28.70,TRUE
58,34,1,"7,021.00",2021-02-06,Chevron #5621,$32.80,TRUE
59,35,1,"6,574.00",2021-02-09,BP #1345,$31.90,TRUE
60,34,1,"7,246.00",2021-02-20,BP #1345,$29.60,TRUE
61,35,1,"6,807.00",2021-02-23,Chevron #5621,$30.40,TRUE
62,34,1,"7,503.00",2021-03-07,Shell #2847,$33.20,TRUE
63,35,1,"7,049.00",2021-03-10,Shell #2847,$32.30,TRUE
64,34,1,"7,728.00",2021-03-20,Exxon #9203,$15.80,FALSE
65,35,1,"7,282.00",2021-03-23,Exxon #9203,$14.90,FALSE
66,34,1,"7,984.00",2021-04-04,Chevron #5621,$30.90,TRUE
67,35,1,"7,524.00",2021-04-07,Chevron #5621,$31.60,TRUE
68,34,1,"8,209.00",2021-04-17,BP #1345,$28.40,TRUE
69,35,1,"7,757.00",2021-04-20,BP #1345,$29.20,TRUE
70,34,1,"8,466.00",2021-05-02,Shell #2847,$34.70,TRUE
71,35,1,"7,999.00",2021-05-05,Shell #2847,$33.80,TRUE
72,34,1,"8,691.00",2021-05-15,Exxon #9203,$11.90,FALSE
